SqFtTotLiving,SqFtLot,Bathrooms,Bedrooms,BldgGrade,AdjSalePrice
2400,9373,3.0,6,7,300805.0
3764,20156,3.75,4,10,1076162.0
2060,26036,1.75,4,8,761805.0
3200,8618,3.75,5,7,442065.0
1720,8620,1.75,4,7,297065.0
930,1012,1.5,2,8,411781.0
1750,34465,1.5,3,8,380785.0
1860,14659,1.75,4,7,349489.0
990,5324,1.0,2,6,231239.0
1980,10585,2.0,4,6,463148.0
840,12750,1.0,2,6,160236.0
1750,5200,1.0,3,7,372178.0
790,5240,1.0,2,6,315175.0
790,5240,1.0,2,6,327739.0
2120,7320,2.75,3,8,634754.0
2620,3485,1.5,4,7,432352.0
1500,5253,1.75,3,6,505014.0
2070,4600,2.25,3,7,502857.0
3020,27229,3.0,3,6,332255.0
2370,24034,2.0,4,8,419369.0
1530,3296,2.5,3,8,538921.0
1530,3696,2.5,3,8,518725.0
2780,13349,2.5,3,10,802796.0
2420,8186,2.5,3,10,694292.0
2280,9093,2.5,4,10,671246.0
2280,9093,2.5,4,10,641815.0
3130,8750,2.5,3,10,936052.0
3060,9055,3.25,3,10,768075.0
3190,10223,3.5,3,10,853936.0
3130,13412,2.75,4,9,842280.0
2660,9021,2.5,3,9,639944.0
2230,9948,2.75,3,9,735333.0
2341,9594,2.5,4,9,603442.0
3540,9185,3.75,4,9,771088.0
2470,9001,2.5,3,9,708571.0
2810,9012,2.5,4,9,744245.0
2590,9100,2.5,4,9,755027.0
2330,5420,2.75,3,8,429116.0
1850,4500,2.5,3,8,374781.0
1850,4500,2.5,3,8,310179.0
1920,4800,2.5,4,8,375822.0
1850,4597,2.5,3,8,399101.0
1850,4597,2.5,3,8,277671.0
920,5085,1.0,3,7,286265.0
1190,5635,1.0,3,7,294146.0
1290,4543,1.0,3,7,232692.0
2470,7800,2.25,4,8,550142.0
2730,9030,2.5,5,8,575747.0
1980,9800,2.75,4,8,612428.0
1470,9750,1.75,3,7,451523.0
2410,11000,2.5,4,7,570862.0
1850,9200,2.0,3,7,466797.0
1690,7140,1.75,3,8,667157.0
1510,7140,1.5,3,8,642577.0
1500,8568,1.5,3,8,711375.0
3620,7821,3.5,5,10,704518.0
3620,7821,3.5,5,10,1774213.0
3060,8736,2.5,3,8,863533.0
1240,4000,2.0,3,6,488832.0
1490,5320,1.75,3,8,464683.0
1790,5098,2.5,3,9,753314.0
1790,5098,2.5,3,9,858177.0
2230,5460,3.25,3,8,717316.0
760,4320,1.0,2,6,334020.0
2080,7980,1.75,3,7,386288.0
1180,5320,1.75,3,7,368105.0
1130,8631,1.75,3,7,304554.0
2130,8428,2.5,5,7,396797.0
780,16344,1.0,2,5,85269.0
1800,7288,2.5,3,8,433538.0
2100,7920,2.0,4,7,305942.0
1400,19570,1.0,2,6,251036.0
700,8140,1.0,1,6,206648.0
5050,19350,3.75,5,9,566817.0
880,9000,1.0,2,5,190438.0
880,9000,1.0,2,5,116525.0
2730,10498,2.5,4,8,492882.0
1500,9282,1.0,5,6,234090.0
1970,10080,1.5,3,7,220187.0
3670,9180,4.25,6,10,272553.0
5000,26540,3.5,5,10,2227361.0
5050,16240,3.25,4,11,2013466.0
6210,16750,5.5,5,11,3826741.0
2220,8040,1.75,4,7,305270.0
1250,7201,1.75,3,6,211725.0
1420,8336,1.5,3,7,406868.0
2160,8285,2.5,4,7,422651.0
1150,7984,1.0,3,7,348005.0
2520,13042,3.0,5,8,451036.0
2180,9520,2.5,4,8,436969.0
1900,8408,2.5,4,8,351664.0
3340,15295,2.5,4,10,621115.0
2480,13125,2.5,5,8,386081.0
2600,5875,2.75,3,8,815493.0
1560,5000,1.75,2,7,690928.0
2880,5000,2.0,4,8,626137.0
1830,3440,1.5,3,8,704060.0
2480,6000,1.75,5,7,548650.0
1810,7045,2.5,4,7,422578.0
1590,6300,1.75,3,7,454043.0
1850,6550,2.0,3,7,433979.0
1810,6550,1.5,3,7,316632.0
2210,6600,2.5,4,8,320102.0
1680,6500,1.75,3,7,523908.0
1810,6550,1.5,3,7,505217.0
1370,6550,1.75,3,6,395033.0
1370,6550,1.75,3,6,452454.0
1720,6550,2.0,4,7,503121.0
1080,6419,1.0,2,6,325614.0
2810,4109,3.0,4,8,715491.0
2110,4109,1.75,4,7,597773.0
2110,4109,1.75,4,7,685589.0
1180,5040,1.0,2,6,228138.0
1100,9452,1.75,3,6,170693.0
1260,11475,1.0,4,6,330257.0
2930,10450,2.5,7,7,210434.0
1370,18090,1.0,3,6,285250.0
1980,7800,2.5,3,8,424456.0
1980,7800,2.5,3,8,381423.0
1270,29800,0.75,2,6,419649.0
1320,8500,1.5,3,7,304210.0
1530,4761,1.5,3,7,572063.0
1590,4000,1.0,4,7,545179.0
2280,6000,2.5,4,8,931588.0
3080,4000,2.5,5,8,868994.0
5210,12946,3.25,4,11,1061210.0
4610,17584,4.0,5,11,1177892.0
4930,22093,4.0,4,12,1631840.0
4960,17771,4.0,4,12,1597457.0
5240,15400,4.25,5,12,1788419.0
4950,14942,4.25,5,11,1533835.0
4630,14205,3.5,4,11,1041801.0
3550,15151,3.75,4,11,989842.0
3550,15151,3.75,4,11,928058.0
4540,19098,3.5,5,11,1159192.0
5210,16531,3.25,4,11,1219048.0
4460,16271,3.5,4,11,1125773.0
4220,17679,4.25,4,11,1196462.0
4840,15783,3.5,4,11,1513784.0
4160,15644,4.5,4,11,1074694.0
4330,15709,3.5,4,11,1205871.0
4630,14479,4.5,4,11,1425913.0
3950,14837,3.5,4,11,1253603.0
3720,7338,4.25,5,10,1042669.0
3550,7845,3.5,4,10,897141.0
3150,7121,2.5,4,10,786246.0
3210,8938,2.5,4,10,762969.0
3230,7331,2.5,4,10,766295.0
3320,8030,3.75,4,10,941612.0
4070,8727,3.5,4,10,982280.0
3740,6998,3.5,4,10,837400.0
3190,7380,4.25,5,10,915756.0
3280,7422,3.25,4,10,965576.0
5090,9379,4.5,6,10,1094078.0
3100,9924,2.75,4,10,782636.0
3280,8448,4.0,4,10,987408.0
3510,12297,3.5,4,10,981467.0
3510,12297,3.5,4,10,980305.0
3500,9473,3.5,3,10,974910.0
3490,6565,3.25,4,10,843907.0
4100,11736,3.5,4,10,936207.0
3550,9750,3.75,4,10,910956.0
3780,10145,2.5,4,10,839124.0
3150,12364,2.5,4,10,807122.0
3480,7339,2.5,4,10,828132.0
4100,8074,3.75,5,10,919943.0
4100,8074,3.75,5,10,1041136.0
4100,8860,3.5,4,10,921812.0
4070,10365,3.5,4,10,924409.0
3560,6098,3.5,4,10,900645.0
3480,6635,3.5,4,10,992871.0
3730,8629,3.0,4,10,835740.0
3200,6866,2.75,5,10,788918.0
3200,6866,2.75,5,10,767704.0
3490,7024,3.25,4,10,833233.0
3830,8131,3.75,5,10,850304.0
3880,7208,2.5,4,10,832269.0
3880,7208,2.5,4,10,771793.0
3490,7180,3.25,4,10,793098.0
3200,6713,2.75,5,10,772969.0
1990,8463,2.25,4,7,388472.0
2960,7813,3.5,5,7,370033.0
970,7500,1.0,3,7,235634.0
1230,7504,2.0,4,6,260729.0
1220,8908,1.75,3,7,354122.0
1820,7440,2.5,4,7,316893.0
1470,7480,2.5,3,7,315316.0
1750,7840,1.75,4,7,246166.0
2870,8410,2.5,3,10,961346.0
2070,5500,1.75,3,7,584161.0
1590,7748,2.25,3,7,309841.0
2040,7350,2.5,3,7,333516.0
2040,7350,2.5,3,7,271472.0
1660,7606,2.25,3,7,308361.0
1620,7208,1.75,3,7,235370.0
1660,7334,2.75,4,7,265439.0
1500,7854,2.0,4,7,322894.0
1540,7210,2.0,3,7,313160.0
1750,7210,2.5,3,7,350124.0
1730,7224,2.75,3,7,309561.0
1140,6974,1.75,3,7,285183.0
1230,6000,1.75,3,7,314461.0
1700,5995,2.25,3,7,342142.0
1430,5999,2.25,3,7,298411.0
1260,7077,2.0,3,7,272432.0
1610,6650,2.0,4,7,318093.0
1990,6671,2.5,4,7,290051.0
2330,7802,2.75,4,8,404951.0
1890,6866,2.25,4,8,382951.0
860,8168,1.0,2,6,351485.0
1200,8168,2.0,3,6,514846.0
1200,8168,2.0,3,6,537096.0
1300,8395,1.75,3,6,482617.0
850,8391,1.0,2,6,364912.0
1410,8053,1.0,3,7,449518.0
1340,1654,1.5,2,8,372178.0
1820,2900,3.5,4,8,465222.0
1290,2290,2.5,3,8,374028.0
1440,1975,2.5,3,8,415120.0
1830,7272,1.75,3,8,317669.0
2240,7000,2.25,3,8,335443.0
1480,3900,1.75,3,7,264248.0
1490,6800,2.5,3,7,317033.0
1940,5950,1.75,3,8,333243.0
2010,7500,2.75,3,8,345745.0
1910,6930,2.5,3,7,306716.0
