VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-01-10 18:37:59,2017-01-10 18:49:24,1,0.71,1,N,162,230,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8
2,2017-01-05 15:14:52,2017-01-05 15:23:28,1,1.16,1,N,142,239,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2017-01-11 14:47:52,2017-01-11 14:59:15,1,1.3,1,N,237,75,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3
1,2017-01-04 07:31:49,2017-01-04 07:39:21,1,0.8,1,N,262,140,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2017-01-12 17:43:50,2017-01-12 17:51:25,1,1.4,1,N,90,114,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
2,2017-01-22 02:08:10,2017-01-22 02:18:43,1,3.47,1,N,263,159,1,12.0,0.5,0.5,0.0,0.0,0.3,13.3
2,2017-01-25 19:28:25,2017-01-25 19:35:17,2,0.74,1,N,164,186,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
2,2017-01-04 20:47:30,2017-01-04 21:01:24,1,2.68,1,N,148,186,1,11.5,0.5,0.5,3.84,0.0,0.3,16.64
1,2017-01-17 08:09:14,2017-01-17 08:14:12,3,0.7,1,N,43,24,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95
1,2017-01-23 17:51:31,2017-01-23 18:49:41,1,17.8,2,N,113,132,1,52.0,4.5,0.5,12.55,5.54,0.3,75.39
2,2017-01-27 14:53:30,2017-01-27 14:57:29,1,0.19,1,N,237,236,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2017-01-15 23:17:44,2017-01-15 23:22:12,2,1.04,1,N,68,48,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2017-01-27 10:53:09,2017-01-27 10:59:45,1,1.5,1,N,48,142,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
2,2017-01-10 20:05:29,2017-01-10 20:23:02,6,2.06,1,N,233,50,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96
2,2017-01-13 09:32:10,2017-01-13 09:42:26,3,2.99,1,N,141,74,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
1,2017-01-10 01:38:29,2017-01-10 02:03:22,1,7.1,1,N,50,181,1,24.0,0.5,0.5,5.0,0.0,0.3,30.3
2,2017-01-02 17:49:57,2017-01-02 18:04:31,1,2.24,1,N,142,263,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76
2,2017-01-17 08:56:56,2017-01-17 09:03:45,1,1.27,1,N,132,132,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2017-01-04 23:20:56,2017-01-04 23:40:38,1,10.91,1,N,234,134,1,31.0,0.5,0.5,7.5,5.54,0.3,45.34
1,2017-01-08 08:02:59,2017-01-08 08:30:26,1,17.7,3,N,239,1,1,65.0,0.0,0.0,22.7,10.5,0.3,98.5
2,2017-01-08 13:12:34,2017-01-08 13:21:36,2,1.74,1,N,50,68,1,8.5,0.0,0.5,4.0,0.0,0.3,13.3
1,2017-01-28 23:17:56,2017-01-28 23:36:03,1,2.7,1,N,148,170,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2,2017-01-01 20:22:36,2017-01-01 20:46:19,1,9.16,1,N,233,138,1,29.0,0.5,0.5,6.06,0.0,0.3,36.36
1,2017-01-14 20:14:50,2017-01-14 20:27:43,1,0.9,1,N,249,107,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2017-01-04 13:18:51,2017-01-04 13:26:05,1,0.99,1,N,231,211,1,6.5,0.0,0.5,0.9,0.0,0.3,8.2
2,2017-01-09 17:29:15,2017-01-09 17:50:08,1,5.09,1,N,88,170,1,19.5,1.0,0.5,4.26,0.0,0.3,25.56
1,2017-01-04 19:32:14,2017-01-04 20:02:29,1,8.3,1,N,138,192,1,28.0,1.0,0.5,1.2,0.0,0.3,31.0
