id,purpose,annual_inc,home_ownership,loan_amnt,outcome
id0,credit_card,40000,MORTGAGE,7875,paid off
id1,debt_consolidation,47000,MORTGAGE,9325,paid off
id2,debt_consolidation,28264,RENT,10600,paid off
id3,debt_consolidation,65000,RENT,6000,paid off
id4,debt_consolidation,22000,RENT,7900,paid off
id5,debt_consolidation,43200,MORTGAGE,8400,paid off
id6,debt_consolidation,72000,RENT,18000,paid off
id7,other,30000,MORTGAGE,2400,paid off
id8,debt_consolidation,90000,RENT,10000,paid off
id9,debt_consolidation,88000,RENT,20000,paid off
id10,other,90000,MORTGAGE,15000,paid off
id11,other,72000,MORTGAGE,18950,paid off
id12,home_improvement,204000,MORTGAGE,35000,paid off
id13,debt_consolidation,60000,RENT,20000,paid off
id14,credit_card,105000,RENT,14000,paid off
id15,credit_card,110000,MORTGAGE,12000,paid off
id16,credit_card,80000,RENT,8000,paid off
id17,debt_consolidation,88000,MORTGAGE,7000,paid off
id18,home_improvement,240000,MORTGAGE,18000,paid off
id19,debt_consolidation,36000,RENT,15850,paid off
id20,debt_consolidation,41985,RENT,4000,paid off
id21,credit_card,41150,MORTGAGE,12000,paid off
id22,debt_consolidation,63400,RENT,16000,paid off
id23,debt_consolidation,20400,OWN,1275,paid off
id24,credit_card,75689,MORTGAGE,9600,paid off
id25,credit_card,86000,RENT,25000,paid off
id26,debt_consolidation,40212,RENT,3600,paid off
id27,credit_card,51000,RENT,7475,paid off
id28,debt_consolidation,90000,MORTGAGE,5000,paid off
id29,debt_consolidation,70000,MORTGAGE,9000,paid off
id30,debt_consolidation,60000,RENT,12000,paid off
id31,debt_consolidation,85000,OWN,6000,paid off
id32,credit_card,55403,MORTGAGE,20375,paid off
id33,debt_consolidation,84000,MORTGAGE,35000,paid off
id34,credit_card,157000,MORTGAGE,7200,paid off
id35,debt_consolidation,112000,MORTGAGE,5000,paid off
id36,medical,75000,RENT,8000,paid off
id37,credit_card,43500,MORTGAGE,6250,paid off
id38,debt_consolidation,30000,RENT,7200,paid off
id39,home_improvement,80004,OWN,2425,paid off
id40,debt_consolidation,48000,MORTGAGE,13925,paid off
id41,wedding,40322,RENT,6000,paid off
id42,other,35000,RENT,6000,paid off
id43,debt_consolidation,104000,MORTGAGE,21000,paid off
id44,debt_consolidation,50000,RENT,8000,paid off
id45,debt_consolidation,67000,RENT,12400,paid off
id46,debt_consolidation,50000,RENT,8400,paid off
id47,debt_consolidation,36000,RENT,10000,paid off
id48,debt_consolidation,50000,RENT,14300,paid off
id49,debt_consolidation,82000,RENT,4600,paid off
id50,debt_consolidation,65000,MORTGAGE,12000,paid off
id51,car,60000,MORTGAGE,5000,paid off
id52,debt_consolidation,80000,RENT,12300,paid off
id53,vacation,111740,MORTGAGE,5000,paid off
id54,small_business,25000,OWN,8450,paid off
id55,debt_consolidation,30000,RENT,4000,paid off
id56,other,22584,RENT,1800,paid off
id57,credit_card,50000,RENT,3500,paid off
id58,medical,60000,RENT,6000,paid off
id59,debt_consolidation,52000,OWN,20000,paid off
id60,debt_consolidation,106000,MORTGAGE,18000,paid off
id61,debt_consolidation,60000,RENT,15000,paid off
id62,credit_card,200000,MORTGAGE,1000,paid off
id63,debt_consolidation,38176,MORTGAGE,8000,paid off
id64,credit_card,40000,MORTGAGE,17875,paid off
id65,debt_consolidation,45000,MORTGAGE,12000,paid off
id66,credit_card,63200,MORTGAGE,27250,paid off
id67,debt_consolidation,50500,MORTGAGE,6000,paid off
id68,credit_card,170000,MORTGAGE,35000,paid off
id69,debt_consolidation,110000,OWN,7800,paid off
id70,debt_consolidation,30000,RENT,8000,paid off
id71,debt_consolidation,68000,RENT,4625,paid off
id72,debt_consolidation,37000,MORTGAGE,6000,paid off
id73,debt_consolidation,75000,RENT,5500,paid off
id74,small_business,125000,RENT,30000,paid off
id75,credit_card,22526,OWN,8050,paid off
id76,debt_consolidation,19000,OWN,7400,paid off
id77,other,35000,MORTGAGE,4950,paid off
id78,debt_consolidation,20400,RENT,3125,paid off
id79,debt_consolidation,70000,MORTGAGE,18000,paid off
id80,debt_consolidation,98500,MORTGAGE,20000,paid off
id81,home_improvement,109000,MORTGAGE,20000,paid off
id82,debt_consolidation,65000,MORTGAGE,7425,paid off
id83,credit_card,49000,OWN,7200,paid off
id84,home_improvement,38000,RENT,16000,paid off
id85,debt_consolidation,30000,RENT,1750,paid off
id86,other,250000,MORTGAGE,35000,paid off
id87,credit_card,28000,MORTGAGE,12000,paid off
