SqFtLiving1e3,SqFtLot1e3,NumBedrooms,SalePrice1e5
1.29,7.58,3,3.59518
2.28,7.4,4,4.51218
1.14,6.7,1,4.76127
1.3,5.037,3,3.49497
2.31,9.296,4,6.48504
0.8,2.96,2,5.5501
3.19,8.684,4,12.11146
1.9,5.0,3,3.54827
2.8,4.32,5,9.03059
1.95,1.963,3,5.08899
1.26,8.575,3,2.35985
0.98,4.59,2,4.298
2.87,6.798,4,7.02227
1.82,7.35,3,2.94617
1.05,9.206,3,3.96009
1.81,5.28,2,7.7607
1.79,7.656,3,3.4325
1.37,4.0,2,9.09835
1.61,7.889,4,4.60497
0.91,7.035,3,2.47181
1.48,2.727,3,4.12006
2.54,3.0,3,8.74654
2.3,2.944,3,8.18813
2.73,9.613,4,7.57347
1.35,5.529,2,3.53468
2.59,4.951,3,7.81786
0.81,7.98,2,1.34633
1.35,7.37,3,2.04927
1.98,8.276,5,5.46219
1.23,3.6,2,6.53016
1.68,7.262,3,5.61107
1.89,4.5,4,5.35237
2.05,8.55,3,4.00414
3.02,6.998,4,3.5307
1.52,8.513,3,4.57521
1.92,4.627,4,4.17819
1.94,3.649,3,10.17019
2.86,2.55,4,7.55484
1.73,7.992,3,3.59946
1.912,8.0,4,2.74309
1.67,4.049,2,5.68214
1.33,9.638,3,3.67384
1.26,7.597,4,3.33141
0.93,7.4,2,4.87979
0.96,6.05,2,2.49682
1.12,5.0,3,1.77963
1.49,7.706,3,3.42439
1.7,7.21,3,5.68889
0.86,6.5,2,1.69133
1.45,3.35,3,4.51817
3.17,9.754,5,4.60351
2.67,5.491,3,3.40102
1.69,3.6,3,8.09369
2.63,4.972,3,6.97396
2.37,7.223,3,5.10508
2.9,5.505,4,7.66688
0.91,4.8,2,4.00307
1.99,4.794,4,3.79695
1.53,9.8,3,4.64127
1.54,7.8,3,5.04788
1.2,8.0,3,1.85263
1.62,1.325,3,5.42326
1.56,4.244,3,2.24805
1.3,4.8,3,4.89476
4.1,8.86,4,9.21812
0.99,6.24,3,3.46754
1.95,1.442,3,7.83309
2.33,7.802,4,4.04951
1.75,7.245,4,2.24962
1.46,1.112,3,4.73043
1.82,8.118,4,2.87088
0.77,3.0,2,4.08099
1.33,5.188,3,2.13633
1.47,7.2,3,3.04281
1.78,6.0,3,9.09474
1.1,7.2,2,1.54253
2.44,7.962,4,4.85859
2.45,7.84,4,4.06977
2.14,9.781,4,4.01748
1.41,5.633,3,4.86977
1.48,7.44,4,3.40425
2.04,4.92,4,4.92508
4.11,7.909,4,11.22807
1.21,3.25,2,4.57842
2.692,6.197,4,5.20024
