review,rating
"My cats are considerably more happy with this toy...and I don't have to leave the sofa to use it, given the long wand length. yay laziness!!",5
Made in China. No Good,5
This is a great bowl. Nicely made and easy to clean.  Can't go wrong. You will like the bowl I assure you.,5
"Great hide for a Leopard Gecko as stated by everyone else. I was wondering how this compares to the Zoo Med hide. So, I purchased both. Here is what I think:  The Medium Zoo Med cave is a bit larger than the medium Exo Terra cave and just a bit smaller than the large Exo Terra if anyone was wondering. For an adult gecko, the medium Zoo Med is great (or the large), but with ExoTerra you might want to go with the large size.

The Exo Terra is more of a resin material, while the Zoo Med is more like ceramic. There can be some sharp edges on the inside lip of the Exo Terra that a little sand paper fixes right up, though I doubt the edges are an issue anyway.

Hole placement: I used to make hides from poly foam, and I found that LGs like hides where they climb down into the hide. The Zoo Med hide hole placement is like that - the gecko climbs down into the hide. Not a big deal and not a deal breaker, but the Exo Terra hide has the hole on the side down low. Just an observation, and the gecko will likely care less anyway.

So that is some info for you. I have both in my adult gecko's cage. Can't go wrong with either. This hide style is better than any half-log, etc. My advice is to lay this partially over the heat, with about 1/4 to 1/3 of it over a non-heated area. This way the gecko can thermo-regulate inside the cave without having to choose either an all-warm cave or an all-cold cave.",4
"These cat claws went on easy, no problem what so ever! My cute little Kitty was climbing the curtains, now he doesn't even try. He doesn't seem to mind them and they look so cute on him.",5
my husky has taken an instant liking to this product. he has chewed every side but hasn't destroyed it yet and loves to throw it around.,5
"I bought this same toy 15 years ago! It was the first toy I bought my new puppy, brings back sweet memories.",5
I really like this fence for my blind 8 pound little girl (dog). I needed something to keep her from falling into the swimming pool.,5
"These used to be orange, weren't they?
-
Anyhow, there aren't many squeaky toys that can handle the punishment of multiple dogs playing with it at an animal shelter.  I volunteer at my local dog shelter every weekend.  I've seen toys come and go out in those play yards, and I'm always surprised when each week the squeaky KONG balls STILL WORK!
-
These can take a beating!  And dogs LOVE the balls that make noise - they are WAY more likely to chase a ball that makes noise.  They like it when you squeeze it in your hand, then chuck it, letting it make a squeak noise as it flies through the air!  They just adore these things!
-
I saw there was another version of these on here, like a ""birthday"" version which is multi-colored.  People have reviewed those as being weak, but this one - this is the real deal.  Heavy-duty Kong stuff that you'd expect.
-
Also, these are like double the cost shown here in stores.  I was in PetSmart the other day and was shocked to see how much more these were in stores.  Buy them here.  I do!",5
"Was exactly what I needed. It is fairly firm. I purchased it to wear while working on our hard wood floors. My neck was killing me from holding my head up while crawling around pulling staples, scrapping and sanding the floor to refinish it. This cervical collar is firm enough to help support my head but not too firm to entirely restrict movement.",5
Great product. My cat looks so cute I walk in the back yard just so she can get fresh air. It is very secure I am glad i bought it,5
This worked perfectly for my pet door and saved a lot of time by me not having to build supports for the cutout used for my door.,5
"First I was shocked at the size.  A little bigger than advertised, actually . Second the quality of it was great - it didn't ""stink"" like some bones I've gotten in the past.  My dog is a little older now (10.5 years) so she doesn't go through bones as quickly as before, and this one lasted quite a while.  Very solid, no chips or sharp points to it and it doesn't snap apart like some more brittle bones have, either - it more or less grinds down with their chewing.  I highly recommend this product, and for only $5 you're getting more than you pay for in my opinion.",5
Just adopted a shelter cat who is a bit shy. He loves enclosed spaces like my closet. This igloo is great. Lightweight but sturdy and soft. He curls up in there and can see out the front. Definitely worth the purchase!,5
as expected,5
"Uncomfortable, my dog hated it and it totally ruined his trips to the dog park. Consistent training and socializing worked way better than using this Hannibal Lecter looking device. If anyone wants this one, I'll give it to them for free.",1
