name_title,description
Invicta® Sl Rally Mens Black Leather Strap Chronograph Watch 16012,"A timepiece you can enjoy every day of the week, this sports car-inspired chronograph watch packs plenty of information into an easy-to-read dial.   Brand: Invicta Dial Color: Black Strap: Black leather Clasp: Buckle Movement: Quartz Water Resistance: 100m Case Width: 48mm Case Thickness: 13.5mm Bracelet Dimensions: 210mm long; 22mm wide Model No.: 16012 Special Features: Stopwatch; 3 multifunction sub dials   Jewelry photos are enlarged to show detail."
"GE® 27"" Built-In Double Electric Wall Oven Self Cleaning with Steam","true Cook and clean the way you want. With double ovens cooking space is plentiful and the self-cleaning with steam option cleans up those hard to reach places in both ovens, giving you more time to enjoy cooking. double oven 8.6 cu. ft. total oven capacity (4.3 cu. ft. both ovens) glass touch controls allow you to set temperatures quickly and clean with little effort achieve delicious results from a third heating element and fan combination hidden bake element distributes heat evenly throughout even baking is assured with ten-pass heat that covers more surface area get full broil coverage with eight-pass broil element for more even browning from edge to edge self-clean, with steam clean option in both ovens conveniently clean your oven and racks together see how your food is baking with Halogen oven lighting and big view window audible preheat signal certified Sabbath mode"
GE Profile™ 27-in. Single Wall Oven with Advantium® Technology,"true Experience four ovens in one with Speedcook, microwave, convection and broiling capabilities. The Speedcook technology allows you to enjoy oven-quality results two to four times faster than a conventional oven. Halogen heat allows you to skip the preheating step with nearly instantaneous halogen heat. 1.7 cu. ft. capacity 27-in. 120V over 175 pre-programmed menu selections make planning meals easy custom recipe saver stores cooking instructions for up to 30 different recipes"
Relic® Bleeker Crossbody Bag,"It's pockets galore on this crossbody bag featuring slide and zipper pockets inside and outside of the bag for storing all your favorite necessities. detachable, adjustable crossbody strap, 22"" drop top zip closure synthetic; polyester lining 2 front exterior slide pockets and 1 back zipper pocket 2 interior slide pockets and 1 zipper pocket 10(H) x 10(W) x 2½""(D) imported"
Microfiber Beanbag Chair,"Super-soft. Super-comfortable. It's everything and more than you'd expect of your favorite beanbag chair.   velvety soft faux suede microfiber stylish, sophisticated colors double-stitched seams and auto-lock safety zipper round beanbag comes in 84"", 105"" and 128"" sizes refillable Polyester with polystyrene pellets. Measurements stated are circumferences. Spot clean. USA."
Champion® Absolute Fusion Athletic Print Capri Pants - Plus,"Head to the gym in our capri pants, featuring a SmoothTec™ waistband for chafe resistance and C Vapor technology for faster drying so you stay cool and dry. ●    elastic waist●    flat front●    C Vapor technology for faster drying●    smoothTec waistband for chafe resistance●    moisture-wicking fabric●    reflective ""C"" logo●    polyester/spandex●    liner: polyester/cotton/spandex●    washable●    imported  "
Stetson® Herringbone Fedora,"Our herringbone fedora from Stetson is pure classic perfection with its grosgrain band, pinched sides and a grey logo jacquard lining.   antique silver Stetson rivet ""All-American by Stetson"" label in sweatband polyester spot clean imported"
Dickies® Womens Relaxed-Fit Straight-Leg Stretch Twill Pants,"Power through your workday in total comfort with these relaxed-fit, brushed twill pants featuring a hint of spandex for stretch. brushed fabric for softness midrise relaxed fit contour waistband with stretch interlining prevents gapping in back zip front with hook-and-eye closure 2 slant front pockets 2 back welt pockets flat front straight leg hemmed cotton/spandex washable imported"
Hooded Faux-Leather Sleeve Jacket,"With faux-leather sleeves and a hooded layered look, this jacket gives you a unique casual style that is sure to stand out. midweight water resistant long sleeves hooded zip front exterior front pockets ribbed cuffs and hem polyester/other fibers spot clean imported"
Dickies® Womens Drawstring Cargo Scrub Pants–Tall,These stretch-easy cargo scrubs provide multi-pocket versatility in a moderate flare-leg style that flatters. mid rise elastic-back waist with drawstring front scoop pockets side cargo pocket with interior pocket back pocket flare leg with side vents cotton/polyester/spandex washable imported
